90,5,Basic-100
96,30,C-100
97,40,C-70,C++-30
98,45,C-40,C++-20,Java-40
01,50,C-30,C++-10,Java-50,Matlab-10
09,40,Matlab-20,Python-80
10,40,Matlab-10,Python-70,R-20
13,50,Python-70,R-15,JavaScript-15
23,30,Python-75,R-20,JavaScript-5
25,15,Python-80,R-7,JavaScript-8,Rust-4,Kotlin-1
